day,time,artist,album,type,title,spotify,apple,year,month
23,18:00,BAIKAL,BEAUTIFUL,single album,BEAUTIFUL,None,None,2018,11
23,18:00,Elkie (CLC),I dream,debut digital single,I dream,https://open.spotify.com/album/5LO4QRhx4nSVBfjOUH5l7X,None,2018,11
23,18:00,Lee Woo,010,digital single,010,None,None,2018,11
23,18:00,NCT 127,NCT #127 Regulate,repackage full-length album,Simon Says,https://open.spotify.com/album/5iJsCigDROOTMgUpJ6ex2S,None,2018,11
25,18:00,Jo Moongeun,King of Mask Singer 179,digital single,Love Song,None,None,2018,11
25,18:00,SE7EN,Scared,digital single,Scared,https://open.spotify.com/album/1BBnfdpvqppCrnc6yaUCxJ,None,2018,11
25,18:00,Under Nineteen,Battle of Title Song,omnibus,Go Tomorrow / We Are Young / Friends,https://open.spotify.com/album/6Zc9bWxZe0hGN20EYiqL4V,None,2018,11
26,12:00,Joo Wontak,IN THE LIGHT,debut digital single,IN THE LIGHT,https://open.spotify.com/album/38K4ifuUCrOhfbKBvHPC9V,None,2018,11
26,18:00,FLAVOR (FANATICS),MILKSHAKE,unit debut single album,MILKSHAKE,https://open.spotify.com/album/0QXmJW4e3cDN6ZnebIyCpx,None,2018,11
26,18:00,KEY (SHINee),FACE,debut full-length album,One of Those Nights,https://open.spotify.com/album/60ySfrb8zjJooMlVbpWGHG,None,2018,11
26,18:00,Lovelyz,Sanctuary,mini album,Lost N Found,https://open.spotify.com/album/14RDHnWprxc97Yuzxtm60I,None,2018,11
26,18:00,Mino (WINNER),XX,full-length album,Fiancé,https://open.spotify.com/album/5YPQbtPGPneFUgZ6UYYPDw,None,2018,11
26,18:00,NU'EST W,"WAKE,N",mini album,Help Me,https://open.spotify.com/album/56KwnZj9qYcqf8jYV2CNxZ,None,2018,11
27,18:00,g.o.d,Snowfall,pre-release digital single,Snowfall,https://open.spotify.com/album/4oIH5sp9HyB2oWNlZXh8pU,None,2018,11
27,18:00,Sunwoo JungA,백년해로,digital single,Eternity,https://open.spotify.com/album/0D9t7m87XBV38Rs0T85dJj,None,2018,11
27,18:00,Urban Zakapa,05,full-length album,You're the Reason,https://open.spotify.com/album/1cP958luLNOn9sYtH83Xl8?si=T7ht-IJVTpu2eF3ROu8g1g,None,2018,11
27,18:00,Yubin,TUSM,digital single,Thank U Soooo Much,https://open.spotify.com/album/3NxslX7SfJRLFgGXUgP4V3,None,2018,11
28,00:00,Super Junior,One More Time,Japanese single album,One More Time,https://open.spotify.com/album/208TXvOLIJ70RcBgPZv1Iv,None,2018,11
28,18:00,Huh Gak,Empty Words,digital single,Empty Words,https://open.spotify.com/album/0rMu2ccCP5oQJnLogE2idU,None,2018,11
28,18:00,Loco X GRAY,Late Night,digital single,Late Night,https://open.spotify.com/album/5H6Sord6ry7qvVlNTwpfHC,None,2018,11
28,18:00,Ryeowook (Super Junior),One and Only,pre-release single,One and Only,https://open.spotify.com/album/0v0shRTuzzeC5rkVb0Kmhm,None,2018,11
29,18:00,Lucas (NCT) X Jonah Nilsson,Coffee Break,SM STATION 3 project single,Coffee Break,https://open.spotify.com/album/4rUnHBDzmxdupm4gmOnk0M,None,2018,11
29,18:00,MAMAMOO,BLUE;S,mini album,Wind flower,https://open.spotify.com/album/59QELOU685J1AMB2paryAx,None,2018,11
29,18:00,THE BOYZ,THE ONLY,mini album,No Air,https://open.spotify.com/album/0OQZQq2066KZgauv3M24CK,None,2018,11
30,12:00,K (TST) X JIGM,Thinkin Bout You,digital single,Thinkin Bout You,None,None,2018,11
30,17:00,Amber,Countdown + Beautiful,digital single,Countdown (feat. LDN Noise),https://open.spotify.com/album/4Z2xtUsRpMjts0dNIskCwW,None,2018,11
30,18:00,Chawoo X Rocky (ASTRO),FM201.8-11Hz : 별 (STAR),digital single,Star,None,None,2018,11
30,18:00,Red Velvet,RBB (Really Bad Boy),mini album,RBB (Really Bad Boy),https://open.spotify.com/album/7rNIvLwIpB2mwOzk20iqIl,None,2018,11
1,12:00,Minzy,ALL OF YOU SAY,English digital single,ALL OF YOU SAY,https://open.spotify.com/album/2pS05aWuGezlTJza7v0Sxu,https://itunes.apple.com/gb/album/all-of-you-say-single/1445119941,2018,12
1,18:00,Daehyun (B.A.P),BABY,debut digital single,Baby,https://open.spotify.com/album/2NZ52UGRkBUZ5XcOAJT5Ho,https://itunes.apple.com/gb/album/dae-hyun-1st-single-baby/1445400871,2018,12
1,18:00,"Lee Sojeong, ""Eagle""",King Of Mask Singer 180,omnibus,If By Chance / Miss Havisham's Waltz,https://open.spotify.com/album/7J02w2liV1yA1XyxatEJsC,None,2018,12
2,18:00,HNB,너 참 예쁘다,special digital single,너 참 예쁘다,https://open.spotify.com/album/1EPWMJF9J7NLNoQWZWk3Hi,https://itunes.apple.com/gb/album/you-are-so-beautiful-single/1445397480,2018,12
2,18:00,Hong Jin Young,SEOUL,digital single,SEOUL (feat. bray) (prod. Park Geuntae),https://open.spotify.com/album/6nibZVgrhbUkUIe5npahSR,None,2018,12
2,22:00,We Are The Night,When It Snows,digital single,When It Snows,https://open.spotify.com/album/2tb5GVztnwrBcm2A9v0sro,https://itunes.apple.com/gb/album/when-it-snows-single/1445107523,2018,12
3,18:00,GOT7,Present : YOU (&ME Edition),repackage full-length album,Miracle,https://open.spotify.com/album/0YN16PVfGV8fZM7YTuHZiA,https://itunes.apple.com/gb/album/present-you-me/1445358580,2018,12
3,18:00,Sam Kim,When You Fall,winter special single,When You Fall (feat. Chai),https://open.spotify.com/album/2bGsIOkfC61PUPVK1ILQci,https://itunes.apple.com/gb/album/when-you-fall-feat-chai-single/1445396970,2018,12
4,18:00,Junoflo,Autopilot,digital single,Autopilot (feat. BoA),https://open.spotify.com/album/5DkaeCg5he1AzPOmZuGhdb,None,2018,12
5,00:00,BLACKPINK,BLACKPINK In Your Area,Japanese full-length album,,https://open.spotify.com/album/4cpZazoKuj3jD6x2GrSX2w,None,2018,12
5,00:00,Lee Hongki (FTISLAND),Cheers,Japanese full-length album,Pathfinders,https://open.spotify.com/album/4fZaLfC6urWoGZBuV6VxiA,None,2018,12
5,12:00,Seowoong (NTB),Regret,debut digital single,Regret,https://open.spotify.com/album/6TZVpRZIDctSzOus00T9QA,https://itunes.apple.com/gb/album/seowoong-1st-solo-album-single/1445640413,2018,12
