artist,album,image_url
Jay Park X Double K X Boi.B,REBORN,https://i.scdn.co/image/ab67616d0000b27365dcf8ba740ef53d1853b242
Xion,Ooh ah,https://i.scdn.co/image/ab67616d0000b27372cce6bbb68b3f3bbfaae275
G.Soul,Circles,https://i.scdn.co/image/ab67616d0000b273aeb8c9cb9873bad2a3e58590
Ha Minwoo (ZE:A),보여,https://i.scdn.co/image/ab67616d0000b2737ce248479d19538533c6d55b
Kyung Dasom,Think I Wanted to Be,https://i.scdn.co/image/ab67616d0000b2735aa20ebe7631bd05ff3e4500
Soyou,The Blue Night of Jeju Island,https://i.scdn.co/image/ab67616d0000b2738448d44b0f8287d95a7a2bb0
The Solutions,Thumbs Up,https://i.scdn.co/image/ab67616d0000b2735e150bcc02933c54a50bb44b
Jung Dong Ha X Paul Kim,Now I Know,https://i.scdn.co/image/ab67616d0000b2734572632e8f92081ab59a9f11
Monday Kiz,If you leave me now,https://i.scdn.co/image/ab67616d0000b2739a92d684bfd75b1d2c859e58
Standing Egg,Tonight,https://i.scdn.co/image/ab67616d0000b27385a3b4f1e529bcec7872386c
VMC,VISTY BOYS,https://i.scdn.co/image/ab67616d0000b27363ea91b1e7ea4e1c07b6ed2d
Yoona (SNSD),When the Wind Blows,https://i.scdn.co/image/ab67616d0000b273f6d69a56c34e12151fa5f0a5
Jeong Eunji (Apink),Manito,https://i.scdn.co/image/ab67616d0000b273bc1eb25757dd0a61b35a37b9
Sleepy,So What,https://i.scdn.co/image/ab67616d0000b2733a1a4ed1d713946a1676ce4d
D.I.P,A Likely Night,https://i.scdn.co/image/ab67616d0000b27343024dc4f186b02b4cd007f6
ELRIS,Color Crush,https://i.scdn.co/image/ab67616d0000b27343c2ed1c255d0bb591516fc9
GFriend,RAINBOW,https://i.scdn.co/image/ab67616d0000b273d6fb8caf0f2c4468ea702a9b
Jung Min Hyuk,Holy-Day,https://i.scdn.co/image/ab67616d0000b2734aa5be58d2d27a2187137d88
Bobby (iKON),Love and Fall,https://i.scdn.co/image/ab67616d0000b27386af83372f563b8f344757be
Verbal Jint,Self-Suggestion,https://i.scdn.co/image/ab67616d0000b27316c1f428ce92db37d1f91573
Jinbo,KRNB2 Part.2,https://i.scdn.co/image/ab67616d0000b2730d576a589e236ada546aa560
Junoflo,Static,https://i.scdn.co/image/ab67616d0000b2738d9bea7a0a613b6840ad756c
Sunny (SNSD) X Henry (SuJu-M),U&I,https://i.scdn.co/image/ab67616d0000b273e798389f906c38c39b0ae844
ShinChiRim X Eddy Kim,NOW,https://i.scdn.co/image/ab67616d0000b273effcd50977b7a7ac9c8044da
Sik-K X pH-1 X Jay Park,iffy,https://i.scdn.co/image/ab67616d0000b273e70f13ab53f580be2193292a
BewhY,The Blind Star,https://i.scdn.co/image/ab67616d0000b2739ac5403cdffa7c2cc5d2f85d
Show Me The Money,Show Me The Money 6 Special,https://i.scdn.co/image/ab67616d0000b27394781ca909cbb214e95c1789
IU,Autumn Morning,https://i.scdn.co/image/ab67616d0000b2731627ea08474aa24609404eb0
BTS,LOVE YOURSELF 承 'Her',https://i.scdn.co/image/ab67616d0000b273f9a16d4b6cd94eca041f00b8
A-JAX,Romeo,https://i.scdn.co/image/ab67616d0000b2732699eaaa8b82c122ada92cdd
Seo Eunkwang (BTOB),Piece of BTOB Vol.7,https://i.scdn.co/image/ab67616d0000b2736ce40f624beea282c5078880
B.A.P,Honeymoon,https://i.scdn.co/image/ab67616d0000b2732e39e42b35d30e675afb5697
Block B PROJECT-1,PROJECT-1 EP,https://i.scdn.co/image/ab67616d0000b273f7aacf5beb8985f29945b8b8
Yoon Jong Shin X Jang Jane,Amateur,https://i.scdn.co/image/ab67616d0000b27343a08a863101951309cbcd86
Muzie (UV),Future track,https://i.scdn.co/image/ab67616d0000b273b8fcf1d9e4ab091e50f66e96
BUMZU,Once,https://i.scdn.co/image/ab67616d0000b273f37eef24e6286ca70dfde89c
Odd Eye Circle (LOOΠΔ),Mix & Match,https://i.scdn.co/image/ab67616d0000b273ee58dd64b8c2c251aa285c47
Niel (Teen Top) X JUSTHIS,What's Good?,https://i.scdn.co/image/ab67616d0000b273c8cea31dff732b7a546d404b
Ryu Jun Yeol X Philtre,Mixxxture Vol.2,https://i.scdn.co/image/ab67616d0000b273719dfac6056b84a29b0cb248
Sechskies,Another Light,https://i.scdn.co/image/ab67616d0000b2734c0c30f9b3f8961d8e2e8970
Sik-K,BOYCOLD,https://i.scdn.co/image/ab67616d0000b273b01fffc696da7289404a05ec
Crucial Star,starry night '17,https://i.scdn.co/image/ab67616d0000b273f1b41c8370eca6d344394533
IMLAY,Daylight & Cerulean High,https://i.scdn.co/image/ab67616d0000b273bedd813eb095b13751077b41
IU,A Flower Bookmark 2,https://i.scdn.co/image/ab67616d0000b273dbd063ae065db06970b022d7
Jang Soo Bin,Torn,https://i.scdn.co/image/ab67616d0000b273e23fb371af778b07469fe869
B1A4,Rollin',https://i.scdn.co/image/ab67616d0000b273e8940d5e9ad0ba756094a29d
H.ONE X Justin Oh,Bam!Bam!Bam!,https://i.scdn.co/image/ab67616d0000b273e8cd22bea1f98905b71df0d5
Serri (Dal Shabet) X Ants,Jakku,https://i.scdn.co/image/ab67616d0000b273a8c4acfb9e170bb4fb62312b
U-Know Yunho (TVXQ),DROP,https://i.scdn.co/image/ab67616d0000b273df4204de02a4d54cb228f003
Royal Pirates,Hasta La Vista,https://i.scdn.co/image/ab67616d0000b27397b8324ae5d1557885906c66
K.Will,Part.1 <Nonfiction>,https://i.scdn.co/image/ab67616d0000b273d535b0446a73235d28432d38
Nada,Trippin',https://i.scdn.co/image/ab67616d0000b273582a59efcf20d41ddee5da90
Paul Kim,the Road,https://i.scdn.co/image/ab67616d0000b273dcd68c9d320931d3264e464c
P.O (Block B),MEN'z NIGHT,https://i.scdn.co/image/ab67616d0000b2734fa969b2786e322dcbce3ee5
DIA's Yebin and Somyi,Autumn,https://i.scdn.co/image/ab67616d0000b2736d316cbd9abe2d3b1abd2374
Bolbbalgan4,Red Diary Page.1,https://i.scdn.co/image/ab67616d0000b2736ce4b0fb36b9366f8ddfd7de
Changmin (TVXQ),In a Different Life,https://i.scdn.co/image/ab67616d0000b27328d1cebcdffe8aeeb8e4905d
DAY6,When you love someone,https://i.scdn.co/image/ab67616d0000b2733e984d975f51989462e95fa1
Eric Nam X CHEEZE,Perhaps Love,https://i.scdn.co/image/ab67616d0000b273ced3e56217b5fca69068f8c2
Punch,When Night Is Falling,https://i.scdn.co/image/ab67616d0000b2730b51a8a5785572304e350b13
Los,Bad,https://i.scdn.co/image/ab67616d0000b273eba80f111b0850eece5d1c9b
Idol School,High Five,https://i.scdn.co/image/ab67616d0000b2733de787dc994e6813d7469409
Kim Kyujong (SS501),Play in Nature Part.2 FOREST,https://i.scdn.co/image/ab67616d0000b273604ce80aa521c1c5c48cc5ab
Keith Ape X Ski Mask The Slump God,Achoo,https://i.scdn.co/image/ab67616d0000b27385f8880d439f903de0e74761
Lay (EXO),LAY 02 SHEEP,https://i.scdn.co/image/ab67616d0000b2739ff3fbd7ba89d30b3242b1cf
Park Hyunbin X Lee Gikwang,Shabang Shabang (Fantastic Duo 2 Pt.17),https://i.scdn.co/image/ab67616d0000b2730cebd1babe86c4da0a2f6db3
DPR LIVE,Jasmine,https://i.scdn.co/image/ab67616d0000b273aede3a5ed9bb90fb91aad963
Various Artists,Hyena on the Keyboard,https://i.scdn.co/image/ab67616d0000b273ffa2cf35864c6f168a05d1a2
Im Siwan X Jo Hyunah (Urban Zakapa),Tick Tock,https://i.scdn.co/image/ab67616d0000b2735502da40edca42c589493aa6
Crown J,Trust Nobody,https://i.scdn.co/image/ab67616d0000b2732b32e072d86f25fcbea60ae0
GOT7,7 for 7,https://i.scdn.co/image/ab67616d0000b2739dfd81634634fb4ff54a561d
NU'EST W,"W,HERE",https://i.scdn.co/image/ab67616d0000b2733eb3ec940c5847cae52635c3
TRCNG,New Generation,https://i.scdn.co/image/ab67616d0000b273c0933cb105e4330488f28e88
KNK,U / Back Again,https://i.scdn.co/image/ab67616d0000b2734f306541818516624858362e
U-KISS,FLY,https://i.scdn.co/image/ab67616d0000b273a405b91167805d4fea4fc0d4
Hash Tag,The Girl Next Door,https://i.scdn.co/image/ab67616d0000b27306c1edea3799d06c57c46273
Davichi,To Me,https://i.scdn.co/image/ab67616d0000b273c86aa6cc20fa143c12eb68e2
Gary,gomin,https://i.scdn.co/image/ab67616d0000b273ae568269f4bada520a48bcd7
